id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,11806,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19786284.0,19786284.0,False,,1,,,,2024-11-23T12:36:00.000Z,98576.32128882747,64550208852.170654,-28.4986,-0.02813834,-0.24955427,8.38410573,46.60226715,55.13013154,54.19329912,1950459088695.9863,58.1023,2070102747065.38,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
1027,Ethereum,ETH,ethereum,9586,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120429749.50750154,120429749.50750154,True,,2,,,,2024-11-23T12:36:00.000Z,3390.980830776551,34933718034.89298,-27.7179,0.81788875,1.0405349,6.78993451,34.27190663,28.4632705,23.15495087,408374972035.15955,12.1651,408374972035.16,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
825,Tether USDt,USDT,tether,104851,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,132105169727.15572,132944368175.94005,True,,3,,,,2024-11-23T12:36:00.000Z,1.0009962516931237,174411626641.3152,-6.4537,-0.00035325,0.01421214,0.10886223,0.20057232,0.10346446,0.0551462,132236779726.16678,3.9349,133076814227.83,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-11-23 12:38:14.403678
5426,Solana,SOL,solana,793,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,474657270.46473634,588766205.5988964,True,,4,,,,2024-11-23T12:36:00.000Z,257.635599102679,6393948037.808542,-39.2522,0.14535291,-0.78915548,18.35103717,48.11350242,74.3949089,63.64481039,122288610244.6247,3.6404,151687134110.88,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
1839,BNB,BNB,bnb,2287,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,144010472.4,144010472.4,False,,5,,,,2024-11-23T12:36:00.000Z,665.69944287009,3022675559.333619,9.8354,0.06409536,6.27094254,6.38599586,12.6358293,9.90409147,15.92830925,95867691244.13847,2.8539,95867691244.14,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
52,XRP,XRP,xrp,1434,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56998852241.0,99986987365.0,False,,6,,,,2024-11-23T12:36:00.000Z,1.5375814132276981,17399554986.554092,-13.3187,-0.91079384,3.84801024,45.1658674,190.99177721,160.53496486,155.58192678,87640375781.07353,2.609,153758141322.77,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
74,Dogecoin,DOGE,dogecoin,1108,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146910056383.7052,146910056383.7052,True,,7,,,,2024-11-23T12:36:00.000Z,0.4732755061613496,21393967771.17427,143.0185,0.45473435,19.68261892,27.26276096,239.59641926,330.51555534,334.16107657,69528931295.19049,2.0712,69528931295.19,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
3408,USDC,USDC,usd-coin,23295,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,38846577150.02279,38846577150.02279,False,,8,,,,2024-11-23T12:36:00.000Z,0.9998981590196558,11241413402.409855,-20.232,0.0042669,-0.00249623,0.02686152,0.00343028,-0.01091117,-0.01037671,38842620976.52281,1.1571,38842620976.52,,2024-11-23T12:36:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-11-23 12:38:14.403678
2010,Cardano,ADA,cardano,1366,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35052930435.62651,44994880168.24164,False,,9,,,,2024-11-23T12:36:00.000Z,1.0774901720186703,7623572468.151977,101.3941,0.36493637,18.75537533,43.98282322,214.94581375,190.10783685,182.71725271,37769188044.84169,1.1244,48487057740.84,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
1958,TRON,TRX,tron,1072,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86346178718.3843,86346215808.46654,True,,10,,,,2024-11-23T12:36:00.000Z,0.2194122622381339,1121354117.3436193,34.727,1.43163996,9.41173943,10.01191279,34.16973045,43.96217965,36.11780837,18945410408.21891,0.5644,18945418546.24,,2024-11-23T12:36:00.000Z,,,,,,2024-11-23 12:38:14.403678
